,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,multi,Nation
38,9,39,0,1,20186646,딥,2018-09-06,10000,0.1,10000,100.0,1928500,5,5,100.0,314,1,1,2019-04-01,Y,K
39,10,40,0,0,20174042,히치하이크,2019-03-14,28000,0.3,-28000,-50.0,9047050,4,-7,-63.6,1273,5,5,2019-04-01,Y,K
40,1,1,0,0,20176103,돈,2019-03-20,489802630,87.9,-125426880,-20.4,23899265202,61621,-17261,-21.9,2810142,1082,5189,2019-04-02,N,K
41,1,2,0,0,20185352,어스,2019-03-27,453415500,63.2,-145935220,-24.3,8952310125,54393,-18855,-25.7,1064068,1015,4714,2019-04-02,N,F
42,1,3,0,0,20183773,장난스런 키스,2019-03-27,130563990,76.9,-30196260,-18.8,1665329908,16164,-4602,-22.2,209869,503,1256,2019-04-02,Y,F
43,2,4,0,0,20181877,캡틴 마블,2019-03-06,121974490,17.0,-28872320,-19.1,49547560543,15197,-3872,-20.3,5575218,562,1692,2019-04-02,N,F
44,3,5,0,0,20196025,덤보,2019-03-27,72749740,10.1,-19020810,-20.7,1881488542,8960,-2738,-23.4,233494,547,1381,2019-04-02,N,F
45,1,6,0,0,20197092,로망,2019-04-03,37084000,69.2,33967000,1089.7,98789500,4421,4064,1138.4,11150,24,24,2019-04-02,Y,K
46,4,7,0,0,20198146,콜레트,2019-03-27,25121250,3.5,1609660,6.8,232583051,3259,204,6.7,28655,155,269,2019-04-02,N,F
47,2,8,0,0,20197846,악질경찰,2019-03-20,19908900,3.6,-4086880,-17.0,2239160478,2596,-495,-16.0,260138,291,440,2019-04-02,N,K
48,5,9,0,1,20196244,샤잠!,2019-04-03,24729000,3.4,24729000,100.0,37454000,2385,2385,100.0,3187,9,9,2019-04-02,N,F
49,3,10,1,0,20166301,썬키스 패밀리,2019-03-27,16381530,2.9,-407170,-2.4,237626100,2221,-33,-1.5,30561,344,547,2019-04-02,N,K
50,2,11,0,0,20197987,더 길티,2019-03-27,13964000,8.2,-2067700,-12.9,213798300,1690,-249,-12.8,25720,106,222,2019-04-02,Y,F
51,4,12,1,0,20175407,우상,2019-03-20,13027430,2.3,507780,4.1,1535020128,1537,16,1.1,178539,214,284,2019-04-02,N,K
52,2,13,0,0,20197483,1919 유관순,2019-03-14,8836000,16.5,6020000,213.8,401974410,1104,756,217.2,48310,9,9,2019-04-02,Y,K
53,6,14,-1,0,20198104,바이스,2019-04-11,5791000,0.8,927000,19.1,24884600,801,193,31.7,2967,10,10,2019-04-02,N,F
54,3,15,2,0,20198123,아틱,2019-03-27,5044700,3.0,358100,7.6,63299280,692,53,8.3,7894,82,111,2019-04-02,Y,F
55,4,16,0,0,20184574,그린 북,2019-01-09,4297250,2.5,-351800,-7.6,3552002910,628,-62,-9.0,420927,30,47,2019-04-02,Y,F
56,5,17,-2,0,20185576,콜드 체이싱,2019-02-20,622000,0.4,-153000,-19.7,772119607,617,-123,-16.6,99038,4,6,2019-04-02,Y,F
57,5,18,-2,0,20180825,미성년,2019-04-11,7435500,1.3,-20374500,-73.3,35245500,562,-2528,-81.8,3652,18,18,2019-04-02,N,K
58,6,19,1,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,3278190,1.9,766440,30.5,37414820,458,124,37.1,4652,29,36,2019-04-02,Y,F
59,3,20,0,0,20188117,강변호텔,2019-03-27,3007400,5.6,480300,19.0,32437436,409,80,24.3,4131,47,80,2019-04-02,Y,K
60,7,21,-1,0,20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,2019-03-21,3060000,0.4,-845280,-21.6,308311700,396,-101,-20.3,34549,54,66,2019-04-02,N,F
61,8,22,-1,0,20197283,이스케이프 룸,2019-03-14,2808780,0.4,-115820,-4.0,5004209664,354,-26,-6.8,562546,40,59,2019-04-02,N,F
62,9,23,0,0,20197356,라스트 미션,2019-03-14,2083800,0.3,162550,8.5,825452939,306,35,12.9,99876,20,29,2019-04-02,N,F
63,6,24,0,0,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,2487500,0.4,964800,63.4,7696245325,300,126,72.4,956330,13,13,2019-04-02,N,K
64,10,25,0,0,20151943,인 올드 시카고, ,572000,0.1,42000,7.9,4649000,286,21,7.9,2322,1,5,2019-04-02,N,F
65,7,26,0,1,20198043,아픈 만큼 사랑한다,2019-04-03,2619000,0.5,2619000,100.0,15867000,283,283,100.0,1755,2,2,2019-04-02,N,K
66,7,27,1,0,20197552,출동! 도토리 구조대,2019-03-28,1805800,1.1,-334600,-15.6,79209800,279,-37,-11.7,10376,57,57,2019-04-02,Y,F
67,4,28,0,1,20161724,스타박'스 다방,2018-01-11,454000,0.8,454000,100.0,14197000,227,227,100.0,2267,1,5,2019-04-02,Y,K
68,8,29,0,1,20198912,노무현과 바보들,2019-04-18,1917000,0.3,1917000,100.0,1917000,213,213,100.0,213,2,2,2019-04-02,N,K
69,8,30,2,0,20180937,더 페이버릿: 여왕의 여자,2019-02-21,1536800,0.9,-651650,-29.8,1362162276,201,-87,-30.2,162242,17,19,2019-04-02,Y,F
70,9,31,-1,0,20182530,극한직업,2019-01-23,1120750,0.2,264350,30.9,139627597126,178,30,20.3,16261337,17,20,2019-04-02,N,K
71,9,32,8,0,20196323,더 와이프,2019-02-27,1157500,0.7,376500,48.2,313285451,176,76,76.0,40498,11,14,2019-04-02,Y,F
72,10,33,-1,0,20196601,항거:유관순 이야기,2019-02-27,1101300,0.2,447300,68.4,9238328901,176,52,41.9,1148955,12,13,2019-04-02,N,K
73,5,34,-1,0,20187301,선희와 슬기,2019-03-27,1083500,2.0,35000,3.3,13489000,151,10,7.1,1671,39,55,2019-04-02,Y,K
74,10,35,0,1,20197470,욜로 유 온리 리브 원스,2019-02-28,284000,0.2,284000,100.0,963700,142,142,100.0,188,1,4,2019-04-02,Y,F
75,6,36,0,1,20183374,파도치는 땅,2019-04-04,1134000,2.1,1134000,100.0,2933000,126,126,100.0,343,1,1,2019-04-02,Y,K
76,7,37,0,1,20184642,어른이 되면,2018-12-13,564000,1.1,564000,100.0,40967400,94,94,100.0,5722,1,1,2019-04-02,Y,K
77,8,38,2,0,20174042,히치하이크,2019-03-14,344000,0.6,316000,1128.6,9391050,63,59,1475.0,1336,7,7,2019-04-02,Y,K
78,9,39,-2,0,19990050,박하사탕,2000-01-01,379500,0.7,63500,20.1,86171100,44,1,2.3,9685,2,2,2019-04-02,Y,K
79,10,40,0,1,20183382,예수보다 낯선,2019-04-04,457600,0.9,457600,100.0,2467600,44,44,100.0,245,1,1,2019-04-02,Y,K
80,1,1,4,0,20196244,샤잠!,2019-04-03,721173930,61.7,696444930,2816.3,758627930,86809,84424,3539.8,89996,1132,5199,2019-04-03,N,F
81,1,2,0,1,20183096,생일,2019-04-03,357545220,51.0,357545220,100.0,450732220,45516,45516,100.0,55927,852,3735,2019-04-03,N,K
82,2,3,-1,0,20176103,돈,2019-03-20,329226320,46.9,-160576310,-32.8,24228491522,41265,-20356,-33.0,2851407,668,2595,2019-04-03,N,K
83,2,4,-1,0,20185352,어스,2019-03-27,313320250,26.8,-140095250,-30.9,9265630375,37752,-16641,-30.6,1101820,613,2233,2019-04-03,N,F
84,1,5,0,0,20183773,장난스런 키스,2019-03-27,83132960,77.6,-47431030,-36.3,1748462868,10495,-5669,-35.1,220364,294,495,2019-04-03,Y,F
85,1,6,0,0,20197092,로망,2019-04-03,61761990,69.6,24677990,66.5,160551490,8814,4393,99.4,19964,405,916,2019-04-03,Y,K
86,3,7,-1,0,20181877,캡틴 마블,2019-03-06,61678610,5.3,-60295880,-49.4,49609239153,7681,-7516,-49.5,5582899,342,667,2019-04-03,N,F
87,4,8,-1,0,20196025,덤보,2019-03-27,22696080,1.9,-50053660,-68.8,1904184622,2863,-6097,-68.0,236357,257,355,2019-04-03,N,F
88,5,9,1,0,20198104,바이스,2019-04-11,20384000,1.7,14593000,252.0,45268600,2548,1747,218.1,5515,11,11,2019-04-03,N,F
89,2,10,0,0,20197483,1919 유관순,2019-03-14,17639000,19.9,8803000,99.6,419613410,2205,1101,99.7,50515,9,16,2019-04-03,Y,K
90,6,11,-2,0,20198146,콜레트,2019-03-27,7733900,0.7,-17387350,-69.2,240316951,1007,-2252,-69.1,29662,38,63,2019-04-03,N,F
91,7,12,0,1,20198403,파이브 피트,2019-04-10,8726000,0.7,8726000,100.0,61860000,966,966,100.0,6946,4,4,2019-04-03,N,F
92,2,13,3,0,20185576,콜드 체이싱,2019-02-20,689000,0.6,67000,10.8,772808607,680,63,10.2,99718,4,6,2019-04-03,Y,F
93,3,14,-1,0,20197987,더 길티,2019-03-27,4859500,4.5,-9104500,-65.2,218657800,583,-1107,-65.5,26303,63,102,2019-04-03,Y,F
94,3,15,4,0,20198043,아픈 만큼 사랑한다,2019-04-03,3685700,0.5,1066700,40.7,19552700,541,258,91.2,2296,108,142,2019-04-03,N,K
95,4,16,0,0,20184574,그린 북,2019-01-09,3230400,3.0,-1066850,-24.8,3555233310,482,-146,-23.2,421409,23,39,2019-04-03,Y,F
96,3,17,0,1,20198597,교회오빠,2019-05-16,3648000,4.1,3648000,100.0,5298000,456,456,100.0,676,2,2,2019-04-03,Y,K
97,4,18,0,0,20175407,우상,2019-03-20,3836500,0.5,-9190930,-70.6,1538856628,435,-1102,-71.7,178974,47,53,2019-04-03,N,K
98,5,19,1,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,3194800,3.0,-83390,-2.5,40609620,420,-38,-8.3,5072,27,34,2019-04-03,Y,F
99,4,20,-1,0,20188117,강변호텔,2019-03-27,2448900,2.8,-558500,-18.6,34886336,345,-64,-15.6,4476,39,74,2019-04-03,Y,K
100,5,21,0,1,20188083,뷰티플 마인드,2019-04-18,2358000,0.3,2358000,100.0,3246100,262,262,100.0,394,1,1,2019-04-03,N,K
101,6,22,-4,0,20197846,악질경찰,2019-03-20,1760300,0.3,-18148600,-91.2,2240920778,249,-2347,-90.4,260387,17,21,2019-04-03,N,K
102,6,23,2,0,20180937,더 페이버릿: 여왕의 여자,2019-02-21,2005000,1.9,468200,30.5,1364167276,244,43,21.4,162486,14,17,2019-04-03,Y,F
103,7,24,6,0,20181200,아사코,2019-03-14,1913200,1.8,1131220,144.7,121696919,228,128,128.0,14096,10,10,2019-04-03,Y,F
104,8,25,2,0,20151943,인 올드 시카고, ,450000,0.0,-122000,-21.3,5099000,225,-61,-21.3,2547,1,5,2019-04-03,N,F
105,5,26,-1,0,20161724,스타박'스 다방,2018-01-11,432000,0.5,-22000,-4.8,14629000,216,-11,-4.8,2483,1,5,2019-04-03,Y,K
106,9,27,-2,0,20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,2019-03-21,1652440,0.1,-1407560,-46.0,309964140,198,-198,-50.0,34747,21,23,2019-04-03,N,F
107,6,28,5,0,20185350,칠곡 가시나들,2019-02-27,906500,1.0,719000,383.5,330266400,197,171,657.7,39966,8,8,2019-04-03,Y,K
108,10,29,0,1,20198023,고릴라와 슈퍼레이스,2019-04-03,1329200,0.1,1329200,100.0,8889200,186,186,100.0,1026,62,66,2019-04-03,N,F
109,8,30,1,0,20196323,더 와이프,2019-02-27,1137000,1.1,-20500,-1.8,314422451,173,-3,-1.7,40671,9,12,2019-04-03,Y,F
110,9,31,-6,0,20198123,아틱,2019-03-27,1106000,1.0,-3938700,-78.1,64405280,153,-539,-77.9,8047,14,18,2019-04-03,Y,F
111,10,32,0,1,20199009,나의 작은 시인에게,2019-04-04,1350000,1.3,1350000,100.0,10167000,150,150,100.0,1407,2,2,2019-04-03,Y,F
112,7,33,-4,0,20166301,썬키스 패밀리,2019-03-27,1165400,0.2,-15216130,-92.9,238791500,148,-2073,-93.3,30709,23,30,2019-04-03,N,K
113,8,34,2,0,20196601,항거:유관순 이야기,2019-02-27,602000,0.1,-499300,-45.3,9238930901,117,-59,-33.5,1149072,5,5,2019-04-03,N,K
114,9,35,0,1,20184105,말모이,2019-01-09,500000,0.1,500000,100.0,23977181520,100,100,100.0,2864348,1,1,2019-04-03,N,K
115,7,36,0,1,20120108,지슬 - 끝나지 않은 세월2,2013-03-21,672000,0.8,672000,100.0,997641200,96,96,100.0,145398,1,1,2019-04-03,Y,K
116,10,37,1,0,20177539,사바하,2019-02-20,450000,0.1,-582300,-56.4,20004878194,90,-68,-43.0,2397998,5,5,2019-04-03,N,K
117,8,38,-3,0,20187301,선희와 슬기,2019-03-27,612500,0.7,-471000,-43.5,14101500,84,-67,-44.4,1755,22,36,2019-04-03,Y,K
118,9,39,0,1,20183345,한강에게,2019-04-04,302000,0.3,302000,100.0,5526800,38,38,100.0,843,1,1,2019-04-03,Y,K
119,10,40,6,0,20179346,방문객,2019-03-27,102000,0.1,86000,537.5,292000,15,13,650.0,59,1,1,2019-04-03,Y,K
120,1,1,0,0,20196244,샤잠!,2019-04-03,462145160,53.2,-259028770,-35.9,1220773090,55807,-31002,-35.7,145803,1141,5072,2019-04-04,N,F
121,1,2,0,0,20183096,생일,2019-04-03,341995800,52.2,-15549420,-4.3,792728020,43517,-1999,-4.4,99444,847,3537,2019-04-04,N,K
122,2,3,0,0,20176103,돈,2019-03-20,291111550,44.5,-38114770,-11.6,24519603072,35902,-5363,-13.0,2887309,686,2585,2019-04-04,N,K
123,2,4,0,0,20185352,어스,2019-03-27,269019160,31.0,-44301090,-14.1,9534649535,32093,-5659,-15.0,1133913,621,2162,2019-04-04,N,F
124,1,5,0,0,20183773,장난스런 키스,2019-03-27,78418600,69.9,-4714360,-5.7,1826881468,9726,-769,-7.3,230090,342,570,2019-04-04,Y,F
125,3,6,0,0,20181877,캡틴 마블,2019-03-06,61913140,7.1,234530,0.4,49671152293,7670,-11,-0.1,5590569,340,643,2019-04-04,N,F
126,1,7,0,0,20197092,로망,2019-04-03,45966370,77.5,-15795620,-25.6,206517860,6349,-2465,-28.0,26313,402,881,2019-04-04,Y,K
127,4,8,0,0,20196025,덤보,2019-03-27,22547720,2.6,-148360,-0.7,1926732342,3036,173,6.0,239393,248,327,2019-04-04,N,F
128,5,9,0,0,20198104,바이스,2019-04-11,14360000,1.7,-6024000,-29.6,59628600,1795,-753,-29.6,7310,12,12,2019-04-04,N,F
129,6,10,0,1,20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,2019-04-04,12304850,1.4,12304850,100.0,12304850,1572,1572,100.0,1572,31,48,2019-04-04,N,F
130,7,11,-1,0,20198146,콜레트,2019-03-27,7965250,0.9,231350,3.0,248282201,1065,58,5.8,30727,49,69,2019-04-04,N,F
131,2,12,8,0,20199009,나의 작은 시인에게,2019-04-04,7250500,6.5,5900500,437.1,17417500,806,656,437.3,2213,42,57,2019-04-04,Y,F
132,2,13,0,0,20197483,1919 유관순,2019-03-14,6384000,10.8,-11255000,-63.8,425997410,798,-1407,-63.8,51313,5,5,2019-04-04,Y,K
133,3,14,31,0,20198364,프로디지,2019-04-04,5947140,5.3,5947140,100.0,7225140,751,751,100.0,893,107,178,2019-04-04,Y,F
134,8,15,1,0,20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,2019-03-21,5627170,0.6,3974730,240.5,315591310,738,540,272.7,35485,30,33,2019-04-04,N,F
135,4,16,-1,0,20197987,더 길티,2019-03-27,5728700,5.1,869200,17.9,224386500,703,120,20.6,27006,69,101,2019-04-04,Y,F
136,9,17,0,1,20197423,공포의 묘지,2019-04-10,5319000,0.6,5319000,100.0,5479000,591,591,100.0,607,2,2,2019-04-04,N,F
137,3,18,5,0,20196601,항거:유관순 이야기,2019-02-27,4096000,0.6,3494000,580.4,9243026901,585,468,400.0,1149657,7,7,2019-04-04,N,K
138,4,19,-1,0,20198043,아픈 만큼 사랑한다,2019-04-03,4195000,0.6,509300,13.8,23747700,544,3,0.6,2840,100,134,2019-04-04,N,K
139,5,20,29,0,20198143,우리들의 완벽한 세계,2019-04-04,4456600,4.0,4456600,100.0,9900600,525,525,100.0,1175,38,63,2019-04-04,Y,F
140,10,21,0,1,20129650,알렉산더대왕, ,1002000,0.1,1002000,100.0,17954000,501,501,100.0,8651,1,4,2019-04-04,N,F
141,5,22,-1,0,20175407,우상,2019-03-20,3554500,0.5,-282000,-7.4,1542411128,422,-13,-3.0,179396,35,40,2019-04-04,N,K
142,6,23,-4,0,20185576,콜드 체이싱,2019-02-20,401000,0.4,-288000,-41.8,773209607,396,-284,-41.8,100114,4,4,2019-04-04,Y,F
143,7,24,-3,0,20184574,그린 북,2019-01-09,2402100,2.1,-828300,-25.6,3557635410,351,-131,-27.2,421760,15,25,2019-04-04,Y,F
144,6,25,1,0,20166301,썬키스 패밀리,2019-03-27,1847000,0.3,681600,58.5,240638500,274,126,85.1,30983,17,17,2019-04-04,N,K
145,3,26,3,0,20185350,칠곡 가시나들,2019-02-27,1028000,1.7,121500,13.4,331294400,270,73,37.1,40236,7,7,2019-04-04,Y,K
146,8,27,-3,0,20197145,루스 베이더 긴즈버그 : 나는 반대한다,2019-03-28,1464800,1.3,-1730000,-54.2,42074420,203,-217,-51.7,5275,17,19,2019-04-04,Y,F
147,4,28,0,1,20189803,막다른 골목의 추억,2019-04-04,1467800,2.5,1467800,100.0,8530800,201,201,100.0,975,16,27,2019-04-04,Y,K
148,7,29,0,1,20185484,안나 카레니나,2018-06-29,2538500,0.4,2538500,100.0,52739300,198,198,100.0,3721,5,5,2019-04-04,N,K
149,8,30,-2,0,20197846,악질경찰,2019-03-20,1319000,0.2,-441300,-25.1,2242239778,173,-76,-30.5,260560,13,14,2019-04-04,N,K
150,9,31,0,1,19970037,비트,1997-05-03,1510000,0.2,1510000,100.0,2177000,161,161,100.0,258,1,1,2019-04-04,N,K
151,5,32,-1,0,20188117,강변호텔,2019-03-27,1274000,2.1,-1174900,-48.0,36160336,160,-185,-53.6,4636,22,29,2019-04-04,Y,K
152,9,33,7,0,20197552,출동! 도토리 구조대,2019-03-28,802000,0.7,549540,217.7,80264260,160,114,247.8,10582,4,4,2019-04-04,Y,F
153,6,34,3,0,20183345,한강에게,2019-04-04,1120300,1.9,818300,271.0,6647100,146,108,284.2,989,31,37,2019-04-04,Y,K
154,7,35,0,1,20186652,오늘도 평화로운,2019-04-04,982380,1.7,982380,100.0,7826380,132,132,100.0,909,26,33,2019-04-04,Y,K
155,10,36,-3,0,20181200,아사코,2019-03-14,877000,0.8,-1036200,-54.2,122573919,113,-115,-50.4,14209,7,7,2019-04-04,Y,F
156,8,37,-3,0,20161724,스타박'스 다방,2018-01-11,220000,0.4,-212000,-49.1,14849000,110,-106,-49.1,2593,1,5,2019-04-04,Y,K
157,10,38,0,0,20177539,사바하,2019-02-20,495000,0.1,45000,10.0,20005373194,95,5,5.6,2398093,6,6,2019-04-04,N,K
158,9,39,0,1,20183374,파도치는 땅,2019-04-04,273500,0.5,273500,100.0,3206500,43,43,100.0,386,21,24,2019-04-04,Y,K
159,10,40,0,1,20183382,예수보다 낯선,2019-04-04,238800,0.4,238800,100.0,2706400,34,34,100.0,279,15,16,2019-04-04,Y,K
160,1,1,0,0,20196244,샤잠!,2019-04-03,642406652,51.2,180261492,39.0,1863179742,70676,14869,26.6,216479,1148,5152,2019-04-05,N,F
161,1,2,0,0,20183096,생일,2019-04-03,495459368,52.1,153463568,44.9,1288187388,57313,13796,31.7,156757,862,3575,2019-04-05,N,K
162,2,3,0,0,20176103,돈,2019-03-20,423834434,44.6,132722884,45.6,24943437506,47658,11756,32.7,2934967,709,2719,2019-04-05,N,K
163,2,4,0,0,20185352,어스,2019-03-27,434056128,34.6,165036968,61.3,9968705663,47592,15499,48.3,1181505,658,2293,2019-04-05,N,F
164,1,5,0,0,20183773,장난스런 키스,2019-03-27,142786590,78.4,64367990,82.1,1969668058,16465,6739,69.3,246555,383,701,2019-04-05,Y,F
165,3,6,0,0,20181877,캡틴 마블,2019-03-06,99730250,7.9,37817110,61.1,49770882543,11038,3368,43.9,5601607,371,703,2019-04-05,N,F
166,1,7,0,0,20197092,로망,2019-04-03,44978760,76.6,-987610,-2.1,251496620,5665,-684,-10.8,31978,383,775,2019-04-05,Y,K
167,4,8,0,0,20196025,덤보,2019-03-27,27821330,2.2,5273610,23.4,1954553672,3380,344,11.3,242773,268,361,2019-04-05,N,F
168,5,9,0,0,20198104,바이스,2019-04-11,21078000,1.7,6718000,46.8,80706600,2342,547,30.5,9652,12,12,2019-04-05,N,F
169,3,10,1,0,20198043,아픈 만큼 사랑한다,2019-04-03,14542100,1.5,10347100,246.7,38289800,1769,1225,225.2,4609,115,145,2019-04-05,N,K
170,6,11,1,0,20198146,콜레트,2019-03-27,10007830,0.8,2042580,25.6,258290031,1197,132,12.4,31924,47,74,2019-04-05,N,F
171,2,12,1,0,20198364,프로디지,2019-04-04,7435400,4.1,1488260,25.0,14660540,831,80,10.7,1724,123,176,2019-04-05,Y,F
172,3,13,1,0,20197987,더 길티,2019-03-27,6116000,3.4,387300,6.8,230502500,659,-44,-6.3,27665,59,85,2019-04-05,Y,F
173,7,14,-1,0,20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,2019-04-04,5558300,0.4,-6746550,-54.8,17863150,600,-972,-61.8,2172,32,46,2019-04-05,N,F
174,4,15,-2,0,20199009,나의 작은 시인에게,2019-04-04,4884650,2.7,-2365850,-32.6,22302150,573,-233,-28.9,2786,39,49,2019-04-05,Y,F
